candidate_id,rank,score,reasoning
CAND_0005649,1,1.0000,"Senior Data Scientist with 7.4 years of experience. Strong background in Eval Metrics, Information Retrieval, QLoRA. Located in Delhi, Delhi with a 90-day notice period."
CAND_0010257,2,1.0000,"Senior Data Scientist with 6.5 years of experience. Strong background in MLflow, Milvus, OpenSearch. Located in Noida, Uttar Pradesh with a 120-day notice period."
CAND_0018499,3,1.0000,"Senior Machine Learning Engineer with 7.2 years of experience. Strong background in Embeddings, Eval Metrics, Fine-Tuning. Located in Noida, Uttar Pradesh with a 15-day notice period."
CAND_0029367,4,1.0000,"Senior Data Scientist with 5.7 years of experience. Strong background in Eval Metrics, FAISS, MLflow. Located in Bangalore, Karnataka with a 90-day notice period."
CAND_0042029,5,1.0000,"Senior Data Scientist with 6.5 years of experience. Strong background in Elasticsearch, Embeddings, Eval Metrics. Located in Delhi, Delhi with a 45-day notice period."
CAND_0046525,6,1.0000,"Senior Machine Learning Engineer with 6.1 years of experience. Strong background in Elasticsearch, Eval Metrics, Information Retrieval. Located in Pune, Maharashtra with a 60-day notice period."
CAND_0068351,7,1.0000,"Lead AI Engineer with 6.4 years of experience. Strong background in Elasticsearch, Eval Metrics, LoRA. Located in Delhi, Delhi with a 0-day notice period."
CAND_0079064,8,1.0000,"Senior Data Scientist with 5.2 years of experience. Strong background in Eval Metrics, NLP, OpenSearch. Located in Noida, Uttar Pradesh with a 120-day notice period."
CAND_0081846,9,1.0000,"Lead AI Engineer with 6.7 years of experience. Strong background in Elasticsearch, Embeddings, Eval Metrics. Willing to relocate (currently Jaipur, Rajasthan) with a 30-day notice period."
CAND_0081852,10,1.0000,"Senior Data Scientist with 5.9 years of experience. Strong background in Eval Metrics, LoRA, MLOps. Located in Delhi, Delhi with a 45-day notice period."
CAND_0094759,11,1.0000,"Lead AI Engineer with 8.6 years of experience. Strong background in Eval Metrics, FAISS, Learning to Rank. Located in Mumbai, Maharashtra with a 30-day notice period."
CAND_0080766,12,0.9998,"Staff Machine Learning Engineer with 8.8 years of experience. Strong background in Elasticsearch, Eval Metrics, LoRA. Willing to relocate (currently Coimbatore, Tamil Nadu) with a 0-day notice period."
CAND_0011687,13,0.9967,"Senior NLP Engineer with 7.8 years of experience. Strong background in Embeddings, FAISS, Fine-Tuning. Based in Indore, Madhya Pradesh (15-day notice period)."
CAND_0055905,14,0.9961,"Senior Machine Learning Engineer with 8.1 years of experience. Strong background in Elasticsearch, Embeddings, Eval Metrics. Based in London (30-day notice period)."
CAND_0005260,15,0.9958,"Senior NLP Engineer with 5.2 years of experience. Strong background in Embeddings, Eval Metrics, Fine-Tuning. Willing to relocate (currently Chennai, Tamil Nadu) with a 60-day notice period."
CAND_0002025,16,0.9940,"Senior AI Engineer with 5.9 years of experience. Strong background in Eval Metrics, FAISS, Fine-Tuning. Based in Trivandrum, Kerala (30-day notice period)."
CAND_0046064,17,0.9934,"Senior NLP Engineer with 8.9 years of experience. Strong background in Elasticsearch, Eval Metrics, Fine-Tuning. Based in Coimbatore, Tamil Nadu (30-day notice period)."
CAND_0093912,18,0.9898,"Senior Data Scientist with 5.3 years of experience. Strong background in Elasticsearch, Embeddings, Learning to Rank. Based in Chandigarh, Chandigarh (30-day notice period)."
CAND_0044855,19,0.9871,"Senior Data Scientist with 6.6 years of experience. Strong background in Embeddings, Eval Metrics, Information Retrieval. Willing to relocate (currently Coimbatore, Tamil Nadu) with a 60-day notice period."
CAND_0071974,20,0.9828,"Senior AI Engineer with 7.8 years of experience. Strong background in Elasticsearch, Embeddings, Eval Metrics. Based in Vizag, Andhra Pradesh (45-day notice period)."
CAND_0011432,21,0.9801,"Senior Data Scientist with 7.6 years of experience. Strong background in Elasticsearch, Eval Metrics, MLOps. Based in Chennai, Tamil Nadu (60-day notice period)."
CAND_0095528,22,0.9765,"Senior Data Scientist with 5.3 years of experience. Strong background in Elasticsearch, MLOps, OpenSearch. Based in Indore, Madhya Pradesh (45-day notice period)."
CAND_0047721,23,0.9747,"Senior Data Scientist with 7.0 years of experience. Strong background in FAISS, Information Retrieval, Learning to Rank. Willing to relocate (currently Coimbatore, Tamil Nadu) with a 90-day notice period."
CAND_0048558,24,0.9740,"Data Scientist with 6.7 years of experience. Strong background in Elasticsearch, Eval Metrics, Information Retrieval. Located in Noida, Uttar Pradesh with a 30-day notice period."
CAND_0007411,25,0.9736,"Senior Machine Learning Engineer with 8.0 years of experience. Strong background in Fine-Tuning, Information Retrieval, Learning to Rank. Willing to relocate (currently Kochi, Kerala) with a 15-day notice period."
CAND_0050454,26,0.9731,"AI Engineer with 6.8 years of experience. Strong background in FAISS, LoRA, NLP. Located in Delhi, Delhi with a 30-day notice period."
CAND_0092278,27,0.9721,"Senior NLP Engineer with 6.8 years of experience. Strong background in Elasticsearch, Eval Metrics, Fine-Tuning. Located in Pune, Maharashtra with a 90-day notice period."
CAND_0027691,28,0.9704,"NLP Engineer with 6.5 years of experience. Strong background in Embeddings, Learning to Rank, LoRA. Located in Pune, Maharashtra with a 15-day notice period."
CAND_0071939,29,0.9701,"Data Scientist with 6.4 years of experience. Strong background in Elasticsearch, Embeddings, NLP. Located in Pune, Maharashtra with a 30-day notice period."
CAND_0008425,30,0.9698,"Senior NLP Engineer with 7.8 years of experience. Strong background in Eval Metrics, Fine-Tuning, Information Retrieval. Based in Kolkata, West Bengal (90-day notice period)."
CAND_0007009,31,0.9686,"Recommendation Systems Engineer with 7.9 years of experience. Strong background in Embeddings, Eval Metrics, Learning to Rank. Located in Noida, Uttar Pradesh with a 30-day notice period."
CAND_0006418,32,0.9676,"Machine Learning Engineer with 5.7 years of experience. Strong background in Elasticsearch, Embeddings, Learning to Rank. Located in Gurgaon, Haryana with a 60-day notice period."
CAND_0068932,33,0.9675,"ML Engineer with 5.2 years of experience. Strong background in Eval Metrics, MLOps, Milvus. Located in Noida, Uttar Pradesh with a 30-day notice period."
CAND_0080051,34,0.9662,"Data Scientist with 5.2 years of experience. Strong background in Eval Metrics, Information Retrieval, MLflow. Located in Gurgaon, Haryana with a 30-day notice period."
CAND_0007052,35,0.9655,"ML Engineer with 6.5 years of experience. Strong background in Elasticsearch, MLOps, Milvus. Located in Pune, Maharashtra with a 60-day notice period."
CAND_0098217,36,0.9652,"ML Engineer with 6.4 years of experience. Strong background in FAISS, Fine-Tuning, Learning to Rank. Located in Noida, Uttar Pradesh with a 45-day notice period."
